PN,ADI,CV²,Classification,Mean_Demand,Std_Demand,Periods_with_Demand,Total_Periods
2215364501,0.9333,35.25,Erratic,0.07,0.41,2,58
56H442,1.0,35.25,Erratic,0.07,0.41,2,58
22156283,1.0137,0.7078,Erratic,20.03,16.86,57,58
30210,1.014,1.6003,Erratic,10.03,12.69,58,58
4205401,1.014,0.6533,Erratic,27.88,22.53,58,58
1982660116,1.014,1.0857,Erratic,15.19,15.83,58,58
066012120102,1.014,0.591,Erratic,19.29,14.83,58,58
066500080409,1.014,0.548,Erratic,24.83,18.38,58,58
100370750,1.014,0.5106,Erratic,18.02,12.87,58,58
115195219,1.014,1.2526,Erratic,16.14,18.06,58,58
11519681,1.014,0.9842,Erratic,13.57,13.46,58,58
1263A000003,1.014,0.5644,Erratic,25.52,19.17,58,58
1296943,1.014,1.1047,Erratic,14.03,14.75,58,58
1320A000002,1.014,0.6812,Erratic,18.21,15.03,58,58
1386M56P03,1.014,0.5496,Erratic,14.22,10.55,58,58
141T400422,1.014,2.3713,Erratic,11.31,17.42,58,58
14403003C,1.014,0.8237,Erratic,18.03,16.37,58,58
144955000702,1.014,0.7047,Erratic,16.03,13.46,58,58
1519M89P31,1.014,1.0502,Erratic,14.09,14.44,58,58
1539M12P02,1.014,0.5271,Erratic,7.29,5.29,58,58
154EW2,1.014,1.1912,Erratic,14.71,16.05,58,58
1605642,1.014,0.569,Erratic,24.09,18.17,58,58
1700667D,1.014,0.5317,Erratic,19.86,14.48,58,58
1864M90P04,1.014,0.7941,Erratic,14.84,13.23,58,58
2079102AB,1.014,1.3227,Erratic,12.45,14.32,58,58
2079113AC,1.014,1.3908,Erratic,11.83,13.95,58,58
2118966222,1.014,1.1993,Erratic,13.69,14.99,58,58
2123M56P04,1.014,1.3277,Erratic,12.34,14.22,58,58
21684,1.014,0.6626,Erratic,28.62,23.3,58,58
23418303,1.014,1.2652,Erratic,11.02,12.39,58,58
23419262,1.014,0.7741,Erratic,18.09,15.91,58,58
251A12403,1.014,0.548,Erratic,18.67,13.82,58,58
27045064,1.014,0.4905,Erratic,33.36,23.36,58,58
276802,1.014,0.5538,Erratic,23.21,17.27,58,58
31077211,1.014,0.8994,Erratic,14.69,13.93,58,58
315A28001,1.014,0.6839,Erratic,16.74,13.84,58,58
326879210,1.014,0.518,Erratic,20.93,15.07,58,58
350558265,1.014,0.7642,Erratic,20.03,17.51,58,58
350594510,1.014,0.5926,Erratic,23.47,18.06,58,58
350E5500206,1.014,0.6802,Erratic,13.52,11.15,58,58
3522W000002,1.014,0.732,Erratic,16.52,14.13,58,58
35E385,1.014,0.9499,Erratic,12.26,11.95,58,58
3732A010000,1.014,0.756,Erratic,17.98,15.64,58,58
38762231,1.014,0.9874,Erratic,12.55,12.47,58,58
3966081,1.014,0.5004,Erratic,32.76,23.17,58,58
401MFD33,1.014,0.9254,Erratic,11.45,11.01,58,58
4052506955,1.014,0.5667,Erratic,16.12,12.14,58,58
4063160823,1.014,0.5396,Erratic,22.57,16.58,58,58
4091900942,1.014,0.5815,Erratic,17.5,13.34,58,58
41310203,1.014,0.5394,Erratic,23.69,17.4,58,58
41310204,1.014,0.4922,Erratic,30.22,21.21,58,58
41F1005,1.014,0.7497,Erratic,16.03,13.88,58,58
41F9003,1.014,0.7728,Erratic,17.53,15.41,58,58
4360004850018,1.014,0.6606,Erratic,19.24,15.64,58,58
8220334002,1.014,0.7699,Erratic,45.91,40.29,58,58
9105A000502,1.014,0.5549,Erratic,16.48,12.28,58,58
9302000001,1.014,0.5286,Erratic,28.05,20.39,58,58
9651690055,1.014,11.0883,Erratic,20.88,69.53,58,58
ACP2788AD01,1.014,0.4941,Erratic,19.02,13.37,58,58
118115381,1.0321,0.8735,Erratic,18.64,17.42,57,58
1216648,1.0321,0.6407,Erratic,20.53,16.44,57,58
1347M31P01,1.0321,0.5742,Erratic,5.19,3.93,57,58
141A481037,1.0321,1.4546,Erratic,12.28,14.81,57,58
142147,1.0321,1.1499,Erratic,12.72,13.64,57,58
144405000033,1.0321,0.7236,Erratic,21.03,17.89,57,58
154DN2,1.0321,2.7873,Erratic,7.91,13.21,57,58
1567A000001,1.0321,0.7033,Erratic,18.28,15.33,57,58
1605140002,1.0321,2.3899,Erratic,8.57,13.25,57,58
2040061103,1.0321,0.8934,Erratic,15.76,14.9,57,58
2042M67P04,1.0321,0.6498,Erratic,20.38,16.43,57,58
2050067101,1.0321,0.4989,Erratic,8.31,5.87,57,58
2079113AD,1.0321,1.026,Erratic,14.97,15.16,57,58
22222541,1.0321,1.0287,Erratic,25.12,25.48,57,58
2271500002,1.0321,1.6772,Erratic,10.0,12.95,57,58
350E053021818,1.0321,2.6394,Erratic,6.95,11.29,57,58
350L0100104,1.0321,7.4898,Erratic,11.83,32.37,57,58
360191,1.0321,0.5251,Erratic,19.48,14.12,57,58
38762871,1.0321,0.6913,Erratic,16.07,13.36,57,58
401MFD43,1.0321,1.0996,Erratic,12.09,12.67,57,58
4081600940,1.0321,0.6767,Erratic,17.07,14.04,57,58
410100211,1.0321,0.5083,Erratic,20.21,14.41,57,58
41010029,1.0321,2.2856,Erratic,7.6,11.5,57,58
41809104,1.0321,0.8919,Erratic,11.95,11.28,57,58
41SG2726,1.0321,1.0346,Erratic,13.57,13.8,57,58
5053441,1.0321,0.6798,Erratic,6.91,5.7,57,58
60920001,1.0321,0.5653,Erratic,9.64,7.25,57,58
692D10015,1.0321,0.504,Erratic,10.88,7.72,57,58
7454000516,1.0321,0.7507,Erratic,7.95,6.89,57,58
EB101729C,1.0321,0.4903,Erratic,8.0,5.6,57,58
LA2T0G20503B050,1.0321,0.5217,Erratic,4.21,3.04,57,58
MC1025110,1.0321,0.5195,Erratic,5.45,3.93,56,58
UA5387281,1.0321,0.5313,Erratic,5.78,4.21,57,58
820101000703,1.0333,35.25,Erratic,0.07,0.41,2,58
F5397544501200,1.0333,28.0,Erratic,0.03,0.18,2,58
6840023E16,1.0509,0.4972,Erratic,10.67,7.53,56,58
019012001,1.0509,0.8883,Erratic,10.91,10.29,56,58
1853M33P06,1.0509,1.2675,Erratic,13.59,15.3,56,58
2056C000001,1.0509,0.5804,Erratic,28.9,22.02,56,58
3022053001,1.0509,0.6461,Erratic,16.28,13.08,56,58
3402562520,1.0509,0.785,Erratic,11.16,9.88,56,58
6225132623,1.0509,0.6828,Erratic,8.21,6.78,56,58
640CC04A2Y00,1.0509,0.4972,Erratic,10.84,7.65,56,58
65B084156,1.0509,0.6323,Erratic,4.26,3.39,56,58
766352A,1.0509,0.7247,Erratic,10.53,8.97,56,58
8198021,1.0509,0.4975,Erratic,7.17,5.06,56,58
8TC19AAN1,1.0509,0.6113,Erratic,8.02,6.27,56,58
HTE690047,1.0509,0.589,Erratic,5.59,4.29,56,58
3A2260008011,1.0522,0.7066,Erratic,4.79,4.03,54,58
430201,1.0704,1.5902,Erratic,9.07,11.44,55,58
1601425,1.0704,0.547,Erratic,5.72,4.23,55,58
1855M62G01,1.0704,0.6862,Erratic,8.4,6.96,55,58
2080M35G04,1.0704,0.5492,Erratic,7.1,5.26,55,58
22156322,1.0704,2.4249,Erratic,9.33,14.53,55,58
2901501501,1.0704,0.811,Erratic,5.4,4.86,55,58
3013197240,1.0704,0.5623,Erratic,8.43,6.32,55,58
3262154,1.0704,0.6413,Erratic,6.43,5.15,55,58
3380795060,1.0704,0.5309,Erratic,5.14,3.74,55,58
3400002050,1.0704,0.4955,Erratic,6.33,4.45,55,58
3888394221205,1.0704,2.1949,Erratic,7.86,11.65,55,58
8061640,1.0704,0.5893,Erratic,8.12,6.23,55,58
82C100202,1.0704,1.1153,Erratic,4.34,4.59,55,58
9339M40G05,1.0704,0.6193,Erratic,10.53,8.29,55,58
9992M65G08,1.0704,0.5008,Erratic,3.95,2.79,55,58
S700N1518,1.0704,1.5478,Erratic,6.76,8.41,55,58
254A115010,1.0717,4.0601,Erratic,5.34,10.77,54,58
3380637050,1.0745,1.3068,Erratic,10.59,12.1,52,58
901560,1.0906,0.5453,Erratic,5.71,4.21,54,58
1153701318,1.0906,4.6776,Erratic,6.28,13.57,54,58
3250349020,1.0906,0.5093,Erratic,5.1,3.64,54,58
426HE138,1.0906,0.5442,Erratic,7.21,5.32,54,58
457311381,1.0906,0.647,Erratic,5.1,4.11,54,58
50L627,1.0906,0.5415,Erratic,5.45,4.01,54,58
5108461,1.0906,0.6343,Erratic,8.24,6.56,54,58
54L732,1.0906,0.7376,Erratic,4.55,3.91,54,58
5A31092,1.0906,0.7893,Erratic,8.9,7.9,54,58
D2157160120000,1.0906,1.1348,Erratic,38.52,41.03,54,58
HG2030AE43,1.0906,0.5011,Erratic,7.45,5.27,54,58
K644P16,1.0906,0.6228,Erratic,6.4,5.05,54,58
R002101,1.0906,0.4993,Erratic,7.93,5.6,54,58
RR37100B,1.0906,0.631,Erratic,3.72,2.96,54,58
4521222200,1.0923,1.1666,Erratic,4.74,5.12,53,58
5860017139,1.0923,0.7135,Erratic,3.83,3.23,53,58
